comulgar	commune	keep	https://en.wiktionary.org/wiki/comulgar : to commune receive communion	high
concelebrar	concelebrate	keep	https://en.wiktionary.org/wiki/concelebrar : to concelebrate	high
conceptuar	deem	replace	https://en.wiktionary.org/wiki/conceptuar : to deem judge	high
conchabar	scheme	keep	https://en.wiktionary.org/wiki/conchabar : conchabarse to plot put in cahoots	medium
concitar	incite	keep	https://en.wiktionary.org/wiki/concitar : to instigate stir up incite	high
conculcar	violate	keep	https://en.wiktionary.org/wiki/conculcar : to violate infringe	high
concurrir	converge	keep	https://en.wiktionary.org/wiki/concurrir : to converge gather flock	high
condoler	sympathize	keep	https://en.wiktionary.org/wiki/condoler : condolerse to sympathise feel sorry	high
conexionar	connect	keep	https://en.wiktionary.org/wiki/conexionar : to connect	high
confabular	conspire	keep	https://en.wiktionary.org/wiki/confabularse : to conspire plot scheme	high
conferenciar	confer	keep	https://es.wiktionary.org/wiki/conferenciar : to confer discuss	high
confitar	candy	keep	https://en.wiktionary.org/wiki/confitar : to candy cook in sugar	high
conflagrar	set ablaze	keep	https://es.wiktionary.org/wiki/conflagrar : hacer arder algo set on fire	high
confraternizar	fraternize	keep	https://en.wiktionary.org/wiki/confraternizar : to fraternise	high
congraciar	ingratiate	keep	https://en.wiktionary.org/wiki/congraciar : congraciarse to ingratiate curry favor	high
conjuntar	combine	keep	https://en.wiktionary.org/wiki/conjuntar : to join bring together combine	high
