dominar	dominate
donar	donate
dopar	dope
dorar	brown
dormitar	doze
dosificar	dose
dotar	endow
dragar	dredge
dramatizar	dramatize
drenar	drain
driblar	dribble
drogar	drug
duchar	shower
dudar	doubt
dulcificar	sweeten
duplicar	duplicate
durar	last
echar	throw
eclipsar	eclipse
economizar	economize
edificar	build
editar	edit
educar	educate
edulcorar	sweeten
efectuar	carry out
ejecutar	execute
ejemplarizar	set an example
ejemplificar	exemplify
ejercer	exercise
ejercitar	exercise
elaborar	produce
electrificar	electrify
electrizar	electrify
electrocutar	electrocute
electrolizar	electrolyze
elevar	raise
elidir	elide
eliminar	eliminate
elogiar	praise
elucidar	elucidate
elucubrar	muse
eludir	evade
emanar	emanate
emancipar	emancipate
emascular	emasculate
embadurnar	smear
embalar	pack
embaldosar	tile
embalsamar	embalm
embalsar	dam
embarazar	impregnate
embarcar	embark
embargar	seize
embarrancar	run aground
embarrar	smear with mud
embarullar	muddle
embaucar	deceive
embazar	dye brown
embeber	soak up
embelesar	enthrall
embellecer	beautify
embestir	charge
embetunar	polish
emblanquecer	whiten
embobar	fascinate
embolsar	pocket
emborrachar	get drunk
emborrascar	stir up
emborronar	scribble
emboscar	ambush
embotar	blunt
embotellar	bottle
embotijar	store in jars
embozar	muffle
embragar	engage the clutch
embravecer	enrage
embrear	tar
embriagar	intoxicate
embridar	bridle
embrollar	muddle
embromar	tease
embrujar	bewitch
embrutecer	brutalize
embuchar	stuff
embutir	stuff
emerger	emerge
emigrar	emigrate
emitir	emit
emocionar	move
empacar	pack
empachar	give indigestion
empadronar	register
empalagar	cloy
empalar	impale
empalidecer	turn pale
empalmar	splice
empanar	bread
empantanar	flood
empañar	fog up
empapar	soak
empapelar	paper
empapuzar	stuff with food
empaquetar	package
emparedar	wall up
emparejar	pair up
emparentar	become related
empastar	fill a tooth
empatar	tie
empavonar	blue steel
empecer	hinder
empecinar	be stubborn
empedrar	pave
empeñar	pawn
empeorar	worsen
empequeñecer	belittle
emperejilar	dress up
emperifollar	dress up
emperrar	dig in
empitonar	gore
emplastecer	plaster
emplazar	summon
emplear	use
emplomar	cover with lead
emplumar	feather
empobrecer	impoverish
empollar	hatch
empolvar	powder
emponzoñar	poison
emporcar	soil
empotrar	embed
empujar	push
empuñar	grip
emular	emulate
emulsionar	emulsify
enajenar	alienate
enaltecer	exalt
enamorar	make fall in love
enamoriscar	get a crush
enarbolar	hoist
enarcar	arch
enardecer	inflame
enarenar	cover with sand
encabalgar	overlap
encabestrar	halter
encabezar	head
encabritar	rear up
encabronar	piss off
encadenar	chain
encajar	fit
encajonar	box
encallar	run aground
encallecer	callous
encallejonar	corner
encamar	put to bed
encaminar	direct
encanar	jail
encandilar	dazzle
encanecer	go gray
encanijar	weaken
encantar	enchant
encanutar	roll up
encañonar	point a gun
encapotar	cloud over
encaprichar	become infatuated
encapsular	encapsulate
encapuchar	hood
encaramar	hoist up
encarar	face
encarcelar	imprison
encarecer	raise the price
encargar	order
encariñar	grow fond
encarnar	embody
encarnizar	enrage
encarpetar	shelve
encarrilar	put on track
encartar	implicate
encartonar	bind in boards
encasillar	pigeonhole
encasquetar	pull down
encasquillar	jam
encastrar	embed
encausar	prosecute
encauzar	channel
encebollar	cook with onions
encelar	make jealous
enceldar	put in a cell
encenagar	mire
encender	light
encerar	wax
encerrar	lock up
encestar	score a basket
encharcar	flood
enchufar	plug in
encintar	put on a ribbon
encizañar	sow discord
enclaustrar	cloister
enclavar	nail
encocorar	annoy
encofrar	shutter
encoger	shrink
encolar	glue
encolerizar	enrage
encomendar	entrust
encomiar	commend
enconar	inflame
encontrar	find
encopetar	puff up
encorajinar	infuriate
encorbatar	put on a tie
encordar	string
encorsetar	corset
encorvar	bend
encrespar	curl
encuadernar	bind
encuadrar	frame
encubrir	conceal
encuestar	survey
encumbrar	elevate
encurtir	pickle
endemoniar	possess
enderezar	straighten
endeudar	get into debt
endilgar	foist
endiñar	land a blow
endiosar	deify
endomingar	dress in Sunday best
endosar	endorse
endulzar	sweeten
endurecer	harden
enemistar	make enemies
enervar	enervate
enfadar	anger
enfajar	swaddle
enfangar	muddy
enfatizar	emphasize
enfermar	get sick
enfervorizar	fire up
enfilar	line up
enflaquecer	make thin
enfocar	focus
enfoscar	plaster
enfrascar	get engrossed
enfrentar	confront
enfriar	cool
enfundar	sheathe
enfurecer	enrage
enfurruñar	sulk
engalanar	adorn
enganchar	hook
engañar	deceive
engarabitar	curl up
engarzar	link
engastar	set
engatusar	cajole
engendrar	beget
englobar	encompass
engolar	make throaty
engolfar	plunge into
engolosinar	tempt
engomar	gum
engominar	put on hair gel
engordar	fatten
engranar	mesh
engrandecer	aggrandize
engrasar	grease
engreír	make conceited
engrescar	incite
engrosar	swell
enguachinar	waterlog
enguantar	glove
enguarrar	dirty
engullir	gobble
enharinar	flour
enhebrar	thread
enjabonar	soap
enjaezar	harness
enjalbegar	whitewash
enjaretar	rattle off
enjaular	cage
enjoyar	bejewel
enjuagar	rinse
enjugar	wipe
enjuiciar	prosecute
enladrillar	brick
enlatar	can
enlazar	link
enlodar	muddy
enloquecer	madden
enlosar	flag
enlucir	plaster
enlutar	put in mourning
enmadrar	become attached to mother
enmarañar	tangle
enmarcar	frame
enmascarar	mask
enmendar	amend
enmohecer	make moldy
enmoquetar	carpet
