almacenar	store
almendrar	shape like almonds
almibarar	syrup
almidonar	starch
almohadillar	pad
almohazar	curry
almorzar	have lunch
alocar	madden
alojar	lodge
alquilar	rent
alterar	alter
alternar	alternate
alucinar	hallucinate
aludir	allude
alumbrar	illuminate
alunizar	land on the moon
alzar	raise
amadrinar	sponsor
amaestrar	train
amagar	feint
amainar	abate
amalgamar	amalgamate
amamantar	breastfeed
amancebar	cohabit
amanerar	make mannered
amansar	tame
amañar	rig
amarar	land on water
amargar	embitter
amarillear	turn yellow
amarrar	moor
amartelar	enamor
amartillar	cock
amasar	knead
amazacotar	make stodgy
ambicionar	aspire to
ambientar	set the scene
amedrentar	frighten
amenazar	threaten
amenizar	enliven
americanizar	americanize
amerizar	land on water
ametrallar	machine-gun
amigar	befriend
amilanar	daunt
aminorar	lessen
amnistiar	grant amnesty
amodorrar	grow drowsy
amojamar	dry like tuna
amoldar	mold
amonar	get drunk
amonestar	admonish
amontonar	pile up
amoratar	turn purple
amordazar	gag
amorriñar	pine
amortajar	shroud
amortiguar	cushion
amortizar	amortize
amostazar	irritate
amotinar	mutiny
amparar	protect
ampliar	expand
amplificar	amplify
amputar	amputate
amueblar	furnish
amuermar	bore
amurallar	wall
analizar	analyze
anarquizar	spread anarchy
anatematizar	anathematize
anatomizar	dissect
anclar	anchor
anegar	flood
anestesiar	anesthetize
anexionar	annex
angostar	narrow
angustiar	distress
anhelar	yearn
anidar	nest
anillar	ring
animalizar	animalize
animar	encourage
aniñar	act childish
aniquilar	annihilate
anisar	flavor with anise
anonadar	overwhelm
anotar	jot down
anquilosar	stiffen
ansiar	crave
anteceder	precede
anteponer	put before
anticipar	anticipate
antojar	fancy
anudar	knot
anular	annul
anunciar	announce
añadir	add
añorar	long for
apabullar	overwhelm
apacentar	graze
apaciguar	appease
apagar	turn off
apalabrar	agree verbally
apalancar	lever
apalear	beat
apañar	fix
aparcar	park
aparear	mate
aparecer	appear
aparejar	rig
aparentar	feign
apartar	set aside
apasionar	excite
apear	dismount
apechar	put up with
apechugar	put up with
apedrear	stone
apegar	become attached
apelar	appeal
apellidar	name
apelmazar	compact
apelotonar	bunch up
apenar	sadden
apercibir	warn
apergaminar	become parchment-like
apesadumbrar	grieve
apestar	stink
apetecer	feel like
apiadar	take pity
apilar	stack
apiñar	cram
apisonar	tamp
aplacar	placate
aplanar	flatten
aplastar	crush
aplatanar	make listless
aplaudir	applaud
aplazar	postpone
aplicar	apply
apocar	belittle
apocopar	apocopate
apodar	nickname
apoderar	empower
apolillar	moth-eat
apologizar	apologize
apoltronar	loll
apoquinar	cough up
aporrear	pound
aportar	contribute
aposentar	lodge
apostatar	apostatize
apostillar	annotate
apostrofar	apostrophize
apoyar	support
apreciar	appreciate
aprehender	apprehend
apremiar	urge
apresar	capture
aprestar	make ready
apresurar	hurry
apretar	tighten
apretujar	squeeze
aprisionar	imprison
aprobar	approve
apropiar	appropriate
aprovechar	take advantage of
aprovisionar	supply
aproximar	bring closer
apuntalar	prop up
apuntar	point
apuntillar	finish off
apuñalar	stab
apurar	hurry
aquejar	afflict
aquietar	calm
aquilatar	assess
arañar	scratch
arar	plow
arbitrar	arbitrate
arbolar	hoist
archivar	file
arder	burn
argumentar	argue
armar	arm
armonizar	harmonize
aromatizar	aromatize
arponear	harpoon
arquear	arch
arracimar	cluster
arraigar	take root
arramblar	sweep away
arramplar	sweep away
arrancar	yank
arrasar	raze
arrastrar	drag
arrear	drive
arrebatar	snatch
arrebolar	redden
arrebujar	bundle up
arreciar	intensify
arredrar	intimidate
arreglar	fix
arrellanar	settle comfortably
arremangar	roll up sleeves
arremeter	charge
arremolinar	swirl
arrendar	lease
arrepentir	repent
arrestar	arrest
arriar	lower
arribar	arrive
arriesgar	risk
arrimar	bring near
arrinconar	corner
arrobar	enrapture
arrodillar	kneel
arrogar	arrogate
arrojar	throw
arrollar	run over
arropar	wrap up
arrostrar	face
arrugar	wrinkle
arruinar	ruin
arrullar	lull
arrumbar	cast aside
articular	articulate
asaetear	shoot with arrows
asalariar	put on salary
asaltar	assault
asar	roast
ascender	ascend
asear	tidy
asediar	besiege
asegurar	assure
asemejar	resemble
asentar	settle
asentir	assent
aserrar	saw
asesinar	murder
asesorar	advise
asestar	deal
aseverar	assert
asfaltar	asphalt
asfixiar	suffocate
asignar	assign
asilar	give asylum
asimilar	assimilate
asociar	associate
asomar	show
asombrar	amaze
aspar	reel
asperjar	sprinkle
aspirar	aspire
asquear	disgust
astillar	splinter
asumir	assume
asustar	frighten
atacar	attack
atajar	cut off
atañer	concern
atar	tie
atardecer	grow dark
atarugar	wedge
atascar	clog
ataviar	deck out
atemorizar	frighten
atemperar	temper
atenazar	grip
atender	attend to
atener	abide by
atentar	attempt
atenuar	attenuate
aterrizar	land
aterrorizar	terrorize
atesorar	hoard
atestiguar	testify
atiborrar	stuff
atildar	spruce up
atinar	get right
atiplar	raise the pitch
atirantar	tauten
atisbar	glimpse
atizar	stoke
atocinar	cut into bacon
atolondrar	bewilder
atomizar	atomize
atontar	stun
atontolinar	stupefy
atorar	clog
atormentar	torment
atornillar	screw
atosigar	harass
atracar	hold up
atraer	attract
atragantar	choke
atrancar	bar
atrapar	trap
atrasar	delay
atravesar	cross
