palmear	clap
palmotear	clap repeatedly
palpar	feel
palpitar	throb
panificar	make into bread
papear	eat
parabolizar	make parabolic
parafrasear	paraphrase
paralizar	paralyze
parangonar	compare
parapetar	take cover
parar	stop
parcelar	parcel out
parchear	patch
parcializar	make partial
parecer	seem
parir	give birth
parlamentar	parley
parlar	chatter
parlotear	prattle
parodiar	parody
parpadear	blink
parrandear	party
participar	participate
particularizar	specify
pasar	pass
pasear	stroll
pasmar	astound
pastar	graze
pasteurizar	pasteurize
pastorear	shepherd
patalear	stamp feet
patear	kick
patentar	patent
patentizar	make evident
patinar	skate
patrocinar	sponsor
patrullar	patrol
pausar	pause
pautar	set guidelines
pavimentar	pave
pavonear	strut
pecar	sin
pechar	shoulder
pedalear	pedal
pedorrear	fart repeatedly
pegar	stick
pegotear	sponge off
peinar	comb
pelar	peel
pelear	fight
peligrar	be in danger
pellizcar	pinch
pelotear	knock the ball around
penalizar	penalize
pender	hang
pendonear	gad about
penetrar	penetrate
pensionar	pension
peraltar	bank
percatar	notice
percibir	perceive
percutir	strike
perdonar	forgive
perdurar	endure
perecer	perish
peregrinar	make a pilgrimage
perennizar	perpetuate
perfeccionar	perfect
perfilar	outline
perforar	drill
perfumar	perfume
pergeñar	cobble together
periclitar	decline
peritar	appraise
perjudicar	harm
perjurar	swear falsely
perlar	bead
permanecer	remain
permutar	swap
pernoctar	stay overnight
perorar	hold forth
perpetrar	perpetrate
perpetuar	perpetuate
perseguir	pursue
perseverar	persevere
persignar	cross oneself
persistir	persist
personalizar	personalize
personar	appear in person
personificar	personify
persuadir	persuade
pertenecer	belong
pertrechar	supply
perturbar	disturb
pervertir	pervert
pervivir	survive
pesar	weigh
pescar	fish
pespuntear	backstitch
pestañear	blink
petar	please
petardear	backfire
peticionar	petition
petrificar	petrify
piafar	paw the ground
piar	chirp
picar	sting
picotear	peck
pifiar	botch
pigmentar	pigment
pillar	catch
pilotar	pilot
pimplar	booze
pincelar	brush on
pinchar	prick
pintarrajear	daub
pinzar	clamp
pirar	clear off
piratear	pirate
piropear	pay compliments
pirrar	be crazy about
piruetear	pirouette
pisar	step on
pisotear	trample
pitar	whistle
pitorrear	make fun
pivotar	pivot
plagar	plague
plagiar	plagiarize
planchar	iron
planear	plan
planificar	plan
plantar	plant
plantear	pose
plantificar	plonk down
plañir	wail
plasmar	shape
plastificar	laminate
platear	silver-plate
plegar	fold
pleitear	litigate
plisar	pleat
pluralizar	pluralize
poblar	populate
podar	prune
podrir	rot
poetizar	poeticize
polarizar	polarize
polemizar	argue
policromar	polychrome
polinizar	pollinate
politizar	politicize
polucionar	pollute
pontificar	pontificate
popularizar	popularize
pordiosear	beg
porfiar	persist stubbornly
pormenorizar	detail
portar	carry
portear	transport
posar	pose
posesionar	take possession
posibilitar	make possible
posicionar	position
positivar	develop a photo
posponer	postpone
postergar	postpone
postinear	show off
postrar	prostrate
postular	postulate
potabilizar	make drinkable
potar	puke
potenciar	boost
practicar	practice
precaver	guard against
preceder	precede
preciar	value
precintar	seal
precipitar	precipitate
precisar	specify
preconcebir	preconceive
preconizar	advocate
predatar	predate
predestinar	predestine
predeterminar	predetermine
predicar	preach
predisponer	predispose
predominar	predominate
preexistir	preexist
preferir	prefer
prefigurar	prefigure
prefijar	prefix
pregonar	proclaim
preguntar	ask
prejuzgar	prejudge
preludiar	prelude
premeditar	premeditate
premiar	award
prendar	captivate
prender	seize
prensar	press
preñar	impregnate
preocupar	worry
preparar	prepare
preponderar	prevail
presagiar	foretell
prescindir	do without
prescribir	prescribe
preseleccionar	shortlist
presenciar	witness
presentar	present
presentir	have a premonition
preservar	preserve
presidir	preside
presintonizar	preset
presionar	pressure
prestar	lend
prestigiar	lend prestige
presumir	presume
presuponer	presuppose
presupuestar	budget
presurizar	pressurize
pretender	intend
pretextar	use as a pretext
prevalecer	prevail
prevaricar	abuse one's office
prevenir	prevent
primar	take priority
pringar	get greasy
priorizar	prioritize
privar	deprive
privatizar	privatize
privilegiar	privilege
probar	try
proceder	proceed
proclamar	proclaim
procrear	procreate
procurar	try
prodigar	lavish
producir	produce
profanar	profane
proferir	utter
profesar	profess
profesionalizar	professionalize
profetizar	prophesy
profundizar	deepen
programar	program
progresar	progress
proliferar	proliferate
prologar	preface
prolongar	prolong
promediar	average
promocionar	promote
promulgar	promulgate
pronosticar	forecast
pronunciar	pronounce
propagar	propagate
propalar	spread
propasar	overstep
propender	tend
propiciar	bring about
propinar	deal
proporcionar	provide
propugnar	advocate
propulsar	propel
prorratear	prorate
prorrogar	extend
prorrumpir	burst out
proscribir	proscribe
proseguir	continue
prosificar	turn into prose
prosperar	prosper
prosternar	prostrate oneself
prostituir	prostitute
protagonizar	star in
proteger	protect
protestar	protest
proveer	provide
provenir	come from
provocar	provoke
proyectar	project
psicoanalizar	psychoanalyze
publicar	publish
publicitar	advertise
puentear	bypass
pugnar	struggle
pujar	bid
pulimentar	polish
pulir	polish
pulsar	press
pulular	swarm
pulverizar	pulverize
puntear	dot
puntualizar	clarify
puntuar	punctuate
punzar	prick
purgar	purge
purificar	purify
putear	screw over
